team,season_year,matches_played,win,draw,lose,rank,goals_for,goals_against,goals_difference
32,2010,38,18,8,12,4,54,44,10
7,2010,38,30,6,2,1,95,21,74
19,2010,38,29,5,4,2,102,33,69
28,2010,38,17,7,14,7,62,61,1
3,2010,38,17,7,14,5,62,53,9
25,2010,38,15,4,19,8,46,55,-9
13,2010,38,13,7,18,11,54,68,-14
0,2010,38,18,4,16,6,59,55,4
18,2010,38,10,13,15,18,31,47,-16
1,2010,38,13,8,17,9,45,46,-1
31,2010,38,21,8,9,3,64,44,20
22,2010,38,11,14,13,10,35,42,-7
21,2010,38,14,3,21,15,49,66,-17
12,2010,38,12,9,17,13,41,52,-11
8,2010,38,12,8,18,16,49,60,-11
29,2010,38,6,12,20,20,36,70,-34
17,2010,38,12,8,18,17,41,56,-15
24,2010,38,12,9,17,14,40,53,-13
20,2010,38,12,10,16,12,41,56,-15
11,2010,38,9,8,21,19,36,60,-24
32,2011,38,9,14,15,18,39,53,-14
7,2011,38,28,7,3,2,114,29,85
19,2011,38,32,4,2,1,121,32,89
28,2011,38,13,11,14,9,48,47,1
3,2011,38,15,11,12,5,53,46,7
25,2011,38,12,10,16,14,46,56,-10
10,2011,38,12,6,20,17,35,56,-21
13,2011,38,17,7,14,4,54,53,1
15,2011,38,13,8,17,12,47,56,-9
0,2011,38,12,13,13,10,49,52,-3
1,2011,38,13,15,10,7,44,61,-17
31,2011,38,17,10,11,3,59,44,15
22,2011,38,10,7,21,19,42,69,-27
21,2011,38,12,11,15,11,46,52,-6
14,2011,38,13,4,21,15,53,73,-20
12,2011,38,16,7,15,6,54,50,4
8,2011,38,12,11,15,13,40,51,-11
17,2011,38,14,10,14,8,42,46,-4
24,2011,38,12,7,19,16,36,61,-25
20,2011,38,4,15,19,20,28,63,-35
7,2012,38,32,4,2,1,115,40,75
19,2012,38,26,7,5,2,103,42,61
28,2012,38,14,8,16,9,58,54,4
3,2012,38,23,7,8,3,65,31,34
25,2012,38,11,11,16,13,43,52,-9
16,2012,38,10,7,21,17,37,52,-15
10,2012,38,11,9,18,15,37,54,-17
13,2012,38,16,9,13,6,53,50,3
15,2012,38,16,8,14,7,57,56,1
0,2012,38,12,9,17,12,44,65,-21
18,2012,38,8,11,19,19,47,70,-23
1,2012,38,10,9,19,16,33,50,-17
31,2012,38,19,8,11,5,67,54,13
21,2012,38,18,12,8,4,70,49,21
14,2012,38,16,5,17,8,50,66,-16
12,2012,38,12,10,16,11,40,57,-17
8,2012,38,13,8,17,10,43,57,-14
23,2012,38,11,10,17,14,49,58,-9
17,2012,38,9,9,20,18,43,72,-29
24,2012,38,9,7,22,20,37,62,-25
32,2013,38,17,8,13,6,60,44,16
7,2013,38,27,6,5,2,100,33,67
19,2013,38,27,6,5,3,104,38,66
28,2013,38,18,9,11,5,69,52,17
3,2013,38,28,6,4,1,77,26,51
25,2013,38,11,9,18,13,41,51,-10
16,2013,38,14,7,17,9,49,54,-5
10,2013,38,12,5,21,15,32,56,-24
13,2013,38,12,9,17,11,39,46,-7
15,2013,38,6,7,25,20,36,78,-42
0,2013,38,20,10,8,4,66,39,27
1,2013,38,10,9,19,18,32,62,-30
31,2013,38,13,10,15,8,51,53,-2
21,2013,38,16,11,11,7,62,55,7
14,2013,38,13,4,21,12,46,80,-34
12,2013,38,12,12,14,10,35,43,-8
8,2013,38,11,9,18,14,35,54,-19
6,2013,38,9,13,16,16,30,50,-20
29,2013,38,11,7,20,17,43,71,-28
23,2013,38,7,15,16,19,38,60,-22
32,2014,38,16,12,10,6,48,37,11
7,2014,38,30,4,4,1,110,21,89
19,2014,38,30,2,6,2,118,38,80
28,2014,38,23,7,8,5,71,45,26
3,2014,38,23,9,6,3,67,29,38
26,2014,38,9,8,21,16,34,55,-21
25,2014,38,13,10,15,10,47,51,-4
16,2014,38,13,12,13,8,47,44,3
10,2014,38,7,14,17,18,29,64,-35
13,2014,38,14,8,16,9,42,48,-6
0,2014,38,15,10,13,7,42,41,1
18,2014,38,7,14,17,17,35,60,-25
31,2014,38,22,11,5,4,70,32,38
21,2014,38,11,13,14,12,44,51,-7
14,2014,38,15,4,19,11,46,68,-22
12,2014,38,9,10,19,15,34,67,-33
8,2014,38,10,7,21,14,33,64,-31
4,2014,38,3,11,24,20,22,68,-46
6,2014,38,11,8,19,13,35,62,-27
29,2014,38,8,8,22,19,35,64,-29
32,2015,38,18,10,10,4,44,35,9
7,2015,38,29,4,5,1,112,29,83
19,2015,38,28,6,4,2,110,34,76
28,2015,38,14,10,14,7,51,50,1
3,2015,38,28,4,6,3,63,18,45
30,2015,38,12,8,18,12,45,53,-8
26,2015,38,11,10,17,13,49,61,-12
25,2015,38,12,7,19,14,40,74,-34
16,2015,38,17,9,12,6,51,59,-8
10,2015,38,10,9,19,17,46,69,-23
13,2015,38,12,12,14,8,38,35,3
15,2015,38,11,12,15,10,34,52,-18
0,2015,38,18,8,12,5,58,45,13
18,2015,38,8,18,12,15,45,61,-16
31,2015,38,11,11,16,11,46,48,-2
22,2015,38,10,9,19,16,40,62,-22
21,2015,38,13,9,16,9,45,48,-3
14,2015,38,9,11,18,18,52,73,-21
12,2015,38,8,8,22,20,37,70,-33
8,2015,38,9,9,20,19,37,67,-30
32,2016,38,19,10,9,5,56,33,23
7,2016,38,28,6,4,2,116,37,79
19,2016,38,29,6,3,1,106,41,65
28,2016,38,21,9,8,4,69,49,20
3,2016,38,23,9,6,3,70,27,43
30,2016,38,10,9,19,14,53,74,-21
5,2016,38,14,13,11,9,41,43,-2
2,2016,38,8,11,19,17,36,55,-19
26,2016,38,15,9,14,10,56,51,5
25,2016,38,15,11,12,8,49,50,-1
16,2016,38,13,6,19,13,53,69,-16
10,2016,38,4,8,26,20,30,82,-52
13,2016,38,12,10,16,11,49,55,-6
15,2016,38,10,9,19,15,41,64,-23
0,2016,38,19,6,13,7,53,43,10
18,2016,38,8,12,18,16,43,61,-18
1,2016,38,4,10,24,19,40,94,-54
31,2016,38,13,7,18,12,56,65,-9
22,2016,38,7,10,21,18,42,72,-30
21,2016,38,19,7,12,6,59,53,6
32,2017,38,18,7,13,5,57,50,7
7,2017,38,28,9,1,1,99,29,70
19,2017,38,22,10,6,3,94,44,50
28,2017,38,17,7,14,7,49,58,-9
3,2017,38,23,10,5,2,58,22,36
30,2017,38,5,7,26,19,24,74,-50
5,2017,38,15,2,21,14,40,50,-10
2,2017,38,12,7,19,17,34,51,-17
26,2017,38,14,9,15,9,44,50,-6
25,2017,38,12,13,13,13,36,42,-6
16,2017,38,13,10,15,12,59,60,-1
13,2017,38,5,5,28,20,24,61,-37
15,2017,38,18,6,14,6,60,61,-1
0,2017,38,10,13,15,16,41,49,-8
18,2017,38,6,11,21,18,38,76,-38
31,2017,38,22,7,9,4,65,38,27
21,2017,38,14,7,17,11,66,59,7
12,2017,38,11,13,14,15,44,58,-14
8,2017,38,15,10,13,8,42,33,9
9,2017,38,14,9,15,10,50,59,-9
32,2018,38,10,14,14,14,49,52,-3
7,2018,38,26,9,3,1,90,36,54
19,2018,38,21,5,12,3,63,46,17
28,2018,38,17,8,13,5,62,47,15
3,2018,38,22,10,6,2,55,29,26
5,2018,38,13,11,14,11,39,50,-11
2,2018,38,11,12,15,13,37,43,-6
26,2018,38,11,14,13,12,46,50,-4
25,2018,38,14,11,13,7,48,50,-2
16,2018,38,10,11,17,16,53,62,-9
15,2018,38,14,8,16,10,44,52,-8
0,2018,38,13,14,11,8,41,45,-4
31,2018,38,15,16,7,4,51,35,16
21,2018,38,13,11,14,9,45,46,-1
14,2018,38,8,8,22,20,41,70,-29
12,2018,38,11,11,16,15,59,66,-7
8,2018,38,15,14,9,6,48,35,13
23,2018,38,10,11,17,17,32,51,-19
27,2018,38,7,12,19,19,43,65,-22
9,2018,38,9,10,19,18,37,53,-16
32,2019,38,18,6,14,5,63,49,14
7,2019,38,25,7,6,2,86,38,48
19,2019,38,26,9,3,1,70,25,45
28,2019,38,19,13,6,4,54,34,20
3,2019,38,18,16,4,3,51,27,24
5,2019,38,10,9,19,16,34,59,-25
2,2019,38,8,12,18,18,30,51,-21
26,2019,38,11,9,18,14,39,56,-17
25,2019,38,5,10,23,20,27,58,-31
16,2019,38,7,16,15,17,37,49,-12
10,2019,38,16,8,14,7,52,45,7
15,2019,38,10,11,17,15,48,60,-12
0,2019,38,13,12,13,11,41,38,3
1,2019,38,13,13,12,10,46,54,-8
31,2019,38,14,11,13,9,46,53,-7
21,2019,38,16,8,14,6,56,48,8
12,2019,38,14,7,17,12,47,53,-6
8,2019,38,14,12,12,8,43,37,6
23,2019,38,9,15,14,13,32,43,-11
17,2019,38,9,6,23,19,40,65,-25
